0,483000 0,890900 0,963200 0,985300 0,993400 0,997100 0,998600 0,999500 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,480300 0,890600 0,963100 0,984900 0,993300 0,996900 0,998700 0,999300 0,999600 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,471300 0,890500 0,963200 0,984900 0,993200 0,996900 0,998700 0,999500 0,999700 0,999800 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,478300 0,890400 0,963300 0,985000 0,993500 0,997000 0,998600 0,999500 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,473400 0,889900 0,963200 0,985000 0,993100 0,996800 0,998700 0,999400 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,477100 0,888800 0,963100 0,984800 0,993300 0,997000 0,998600 0,999500 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,479300 0,891000 0,963200 0,985100 0,993300 0,997100 0,998800 0,999400 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,476900 0,891600 0,963000 0,985100 0,993300 0,996900 0,998600 0,999400 0,999600 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,473300 0,890800 0,963500 0,984800 0,993300 0,996900 0,998600 0,999400 0,999700 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0,479100 0,890600 0,963400 0,985100 0,993500 0,996900 0,998700 0,999400 0,999600 0,999700 
0,271000 0,488000 0,657000 0,784000 0,875000 0,936000 0,973000 0,992000 0,999000 1,000000 
0.477800, 0.891100, 0.963200, 0.985200, 0.993400, 0.997100, 0.998700, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.481000, 0.890500, 0.963500, 0.984900, 0.993300, 0.997100, 0.998700, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.476400, 0.891000, 0.962900, 0.985000, 0.993400, 0.996900, 0.998600, 0.999400, 0.999600, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.479200, 0.890600, 0.964100, 0.985400, 0.993500, 0.996900, 0.998600, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.469100, 0.889500, 0.963600, 0.984900, 0.993300, 0.997000, 0.998700, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.474800, 0.890900, 0.963200, 0.985000, 0.993300, 0.997000, 0.998800, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.472500, 0.890800, 0.963800, 0.984700, 0.993300, 0.996900, 0.998700, 0.999400, 0.999600, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.472900, 0.890800, 0.963200, 0.984900, 0.993400, 0.997000, 0.998600, 0.999300, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.475700, 0.891100, 0.963400, 0.985100, 0.993300, 0.997000, 0.998700, 0.999400, 0.999700, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
0.474900, 0.890500, 0.964100, 0.984700, 0.993300, 0.997000, 0.998800, 0.999400, 0.999600, 0.999700, 
0.271000, 0.488000, 0.657000, 0.784000, 0.875000, 0.936000, 0.973000, 0.992000, 0.999000, 1.000000, 
